Topic,Words,Frequency,Timestamp,Global_Representation
58,"ramblin, akropolis, rost, rose traditionell, barbara",45,1970-1974,Rote Rosen Symbolik in Liedern
59,"masquerade, condition, smiling faces, exception, crippled",67,1970-1974,Fassade vs innere Verzweiflung
60,"out cold, cold heart, cold cold, shackled, nuts",37,1970-1974,"Kälte außen, Herz erstarrt"
62,"schmetterlings, schmetterling, as wind, free as, harlem",13,1970-1974,Schmetterlingssymbolik in zwischenmenschlichen Beziehungen
63,"slaughter, hitman, muhammad ali, boxer, muhammad",3,1970-1974,Urbaner Rap und soziale Dynamik
64,"jingle, sleigh, weihnachtslied, jingle bells, weihnachtszeit",18,1970-1974,Klassisches Weihnachtslied mit Schlitten
-1,"gig, jahr 1977, späten siebzigerjahre, siebzigerjahre, spanish",3829,1975-1979,Gig‑Dialog: Weibliche Eifersucht im Dancehall
0,"love monolog, monolog verzweiflung, monolog selbstzweifeln, monolog erinnerung, monolog verlangen",627,1975-1979,Zerrissener innerer Monolog und Selbstreflexion
1,"disco ära, disco kultur, körperliche bewegung, tanzkultur, typisches produkt",521,1975-1979,Rave‑Kultur: kollektiver Tanz
2,"äußere wetter, nutzt regens, wetterphänomen, raining, prasseln",118,1975-1979,Regen als Symbol gebrochener Liebe
3,"weihnachtszeit, merry christmas, weihnachtsmanns, weihnachtsfest, weihnachtsmann",66,1975-1979,Weihnachtszeitliche Symbolik und Gemeinschaft
4,"bissiger, bissiger kommentar, love sale, siebziger frühen, million dollar",254,1975-1979,Bissige Satire über Geldliebe
5,"willi, collie, kraut, lady killer, flipper",26,1975-1979,"Straßenrap: Luxus, Drogen, Gewalt"
6,"driver, fortbewegungsmittel, beep, motorrad, unterwegssein",171,1975-1979,"Fahrzeug, Fahrer und Mobilität"
7,"liebe allumfassende, liebesmanifest, überschwängliches bekenntnis, klassisches liebesmanifest, klassisches liebeslied",643,1975-1979,Allumfassendes Liebesmanifest
8,"zugfahrt, lokomotive, eisenbahn, choo, railroad",70,1975-1979,Zugmetaphern in moderner Musik
9,"breakdown, enten, intrusion, veronica, bad blood",189,1975-1979,"Zerrissene Psyche, Selbstzerstörung, innere Qual"
10,"christlicher, christi, beziehung gott, bekenntnis christlicher, cashs",100,1975-1979,Christliche Glaubensbekenntnis und Anbetung
11,"light fire, körperliche erregung, fiebers, feuers steht, feuer liebe",106,1975-1979,Feuer als Metapher für Liebe
12,"angel eyes, angela, fallen angel, guardian angel, guardian",46,1975-1979,Engel‑Ikonografie: Reinheit und Fall
13,"bevölkerung, umweltzerstörung, eindringlicher protest, eliten, jerusalem",214,1975-1979,Umweltzerstörung: Protest der Bevölkerung
14,"marianne, venedig, sommerromanze, moon poetisches, luna",72,1975-1979,Sommerliebe im Mondlicht
15,"jah, tosh, rastafari, dillinger, marleys",255,1975-1979,Kollektiver Aufruf zur Gerechtigkeit
16,"schiffes, sail away, segelns, seereise, sailor",209,1975-1979,"Maritime Reisen, Mythen und Hafen"
17,"heimweh, homesick, wahre zuhause, way home, omaha",142,1975-1979,Heimweh und Rückkehr
18,"innenleben sehnsucht, love zerrissenes, zerrissene innenleben, sehnsucht selbstschutz, leidenschaftlicher hingabe",1396,1975-1979,"Zerrissenes Innenleben, unerwiderte Liebe"
19,"manifestes, keep trying, aufruf bewussten, lebensführung, out number",282,1975-1979,Aufruf zur Selbstbestimmung und Resilienz
20,"horde, flow kulturelle, betonen unaufhaltsamkeit, auseinandersetzung wobei, selbstbewusstsein kontext",2,1975-1979,"Deutschrap: Gewalt, Identität, Szene"
21,"bethlehem, hirten, inkarnation, weihnachtsgeschichte, geburt jesu",12,1975-1979,Weihnachtsgeschichte: Geburt Jesu
22,"verführerischen gefährlichen, too hot, hot handle, leidenschaftlicher hingabe, verlangen selbstschutz",307,1975-1979,Femme Fatale: gefährliche Verführung und Selbstzerstörung
23,"kaliforniens, cajun, mardi, louisiana, kansas city",53,1975-1979,Amerikanische Reise‑ und Freiheitslyrik
24,"pierre, he always, erdrückenden beziehung, standing tall, kind traurigkeit",189,1975-1979,Selbstbefreiung aus toxischer Beziehung
25,"songbird, vögelchen, paloma, blackbird, bluebird",191,1975-1979,"Flug über Regenbogen, Begrenzungen"
26,"begegnung geliebten, kosmische kraft, dimension liebe, liebesmanifest, universum sängers",299,1975-1979,Allumfassende kosmische Liebesbegegnung
27,"mother love, mütterliche liebe, 36, rande erwachsenwerdens, sass",68,1975-1979,"Mütterliche Liebe, Rollen, Vaterabwesenheit"
28,"lucille, mustang, trinkverhalten, barkeeper, loretta",83,1975-1979,"Alkohol, Bar, Herzschmerz, Flucht"
29,"fool love, selbstbezeichnung fool, he love, cheatin, fool narr",89,1975-1979,Selbstbezeichnung als Narr in Beziehungen
30,"leitung, operator, baby love, collect, telefonleitung",134,1975-1979,Telefonische Kommunikation und Entfremdung
31,"jugendlicher verliebtheit, jugendlicher leidenschaft, jahr 1976, disco ära, liebesgruß",601,1975-1979,Jugendliche Pop‑Liebeserklärung
32,"rückblick unbeschwerte, erwachsenseins, lucky seven, cindy, unbeschwerte kindheit",109,1975-1979,Nostalgischer Rückblick: Kindheit & Erwachsensein
33,"schneeflocken, rosen schnee, fallenden schnees, mandy, frostige",28,1975-1979,Wintersturm und heimische Geborgenheit
34,"sandmann, nächtliches wiegenlied, kind schlaf, sleep tight, lu",19,1975-1979,Sandmann – nächtliches Schlaflied
35,"siebziger frühen, kommentar entfremdung, bürokratie, frühen achtziger, kraftwerk",460,1975-1979,Digitale Entfremdung und Bürokratie
36,"fool gold, stardom, pure gold, everything turning, streben erkenntnis",16,1975-1979,Goldene Alchemie der Liebe
38,"gambler, spielers, kartenspiel, lady luck, kartenspiels",67,1975-1979,"Kartenspiele, Würfel und Roulette"
39,"amerikanischen traums, kommentar amerikanischen, american dream, patriotische, joey",121,1975-1979,"Amerikas Patriotismus, Indigene und Schuld"
40,"stand by, romantische liebe, bekenntnis bedingungsloser, thank baby, bedingungslose unterstützung",205,1975-1979,Bedingungslose Unterstützung und Verlässlichkeit
41,"blues musikalisches, musikalisches genre, old blues, born lose, singen blues",21,1975-1979,Blues-Textanalyse: Verlust und Sehnsucht
42,"rodeo, prärie, nashville, dixie, amerikanischen westens",99,1975-1979,"Western‑Mythos, Prärie, Rodeo, Reiter"
43,"autumn, herbstes, summer gone, laubs, indian summer",95,1975-1979,Herbstliche Symbolik von Verlust
45,"fließen flusses, ambrosia, sandstorm, like river, boote",75,1975-1979,Fluss‑Metaphern in Liedtexten
46,"disco ära, körperliche verlangen, biene, honey love, sugar candy",268,1975-1979,Erotische Süßmetaphern in Pop
48,"los los, york city, honky, tonk, honky tonk",201,1975-1979,"New York: Stadt, Kultur, Musik"
49,"baby blue, indigo, blau taucht, blau traditionell, vermissens",53,1975-1979,Blaues Symbol für Traurigkeit
50,"where gonna, peppermint, one them, runner, writer",175,1975-1979,Ständige Flucht und innere Zerrissenheit
51,"shangri, shangri la, spaceman, granada, land make",95,1975-1979,Weltraum‑Utopie Shangri‑La
52,"browns, james browns, funk ära, spank, godfather",42,1975-1979,Funk‑Call‑Response bei James Brown
53,"sugarhill, weak spot, jibbit, gee, urbane jugendkultur",5,1975-1979,Busta Rhymes: Aggressive Street‑Hip‑Hop Analyse
55,"hollywoods, janie, sunset boulevard, branche, glamours",38,1975-1979,Hollywood‑Glanz und Vergänglichkeit
56,"silent night, holy night, mother child, weihnachtsbotschaft, alleluia",10,1975-1979,Stille Nacht – Heilige Geburt
57,"zappa, zappas, zappa nutzt, iggy, satirischer kommentar",183,1975-1979,Zappa‑Ästhetik und satirische Provokation
58,"rosie, rost, love rose, gelben rosen, western town",38,1975-1979,Rote Rosen Symbolik in Liedern
59,"masquerade, snub, oberfläche blicken, re mine, thought want",102,1975-1979,Fassade vs innere Verzweiflung
60,"china doll, lotte, erkältung, chip away, fred",34,1975-1979,"Kälte außen, Herz erstarrt"
62,"schmetterling, schmetterlings, frosch, zerbrechlichkeit schönheit, madam",7,1975-1979,Schmetterlingssymbolik in zwischenmenschlichen Beziehungen
63,"tosh, cannabis, legalize, pflanze, legalisierung",2,1975-1979,Urbaner Rap und soziale Dynamik
64,"sleigh, jingle, weihnachtskarten, schlittenfahrt, weihnachtszeit",7,1975-1979,Klassisches Weihnachtslied mit Schlitten
-1,"gig, frühen 1980er, jahr 1982, jahr 1984, new wave",4150,1980-1984,Gig‑Dialog: Weibliche Eifersucht im Dancehall
0,"monolog erinnerung, monolog verzweiflung, monolog zerrissenheit, monolog resignation, monolog verlangen",889,1980-1984,Zerrissener innerer Monolog und Selbstreflexion
1,"körperliche bewegung, tanzkultur, disco ära, tanzen akt, manifestierter aufruf",429,1980-1984,Rave‑Kultur: kollektiver Tanz
2,"äußere wetter, raining, regens steht, nutzt regens, wetterphänomen",120,1980-1984,Regen als Symbol gebrochener Liebe
3,"weihnachtsfest, weihnachtszeit, weihnachtsmanns, merry christmas, weihnachtsmann",51,1980-1984,Weihnachtszeitliche Symbolik und Gemeinschaft
4,"bissiger, bissiger kommentar, frühen 1980er, kommentar kommerzialisierung, kommentar konsum",262,1980-1984,Bissige Satire über Geldliebe
5,"türkische, arcade, frankfurt, alphabet, fixer",39,1980-1984,"Straßenrap: Luxus, Drogen, Gewalt"
6,"driver, fahrers, freiheit geschwindigkeit, fortbewegungsmittel, fahrzeugs",165,1980-1984,"Fahrzeug, Fahrer und Mobilität"
7,"liebe allumfassende, wodurch liebe, liebesmanifest, bekenntnis transformative, überschwängliches bekenntnis",531,1980-1984,Allumfassendes Liebesmanifest
8,"zugfahrt, eisenbahn, choo, lokomotive, train nutzt",65,1980-1984,Zugmetaphern in moderner Musik
9,"blackout, closet, mirror mirror, selbstzerstörung verzweifelten, zerrissenheit reihe",335,1980-1984,"Zerrissene Psyche, Selbstzerstörung, innere Qual"
10,"christlicher, bekenntnis christlicher, vertrauen göttliche, glaubensbekenntnis, theologische",96,1980-1984,Christliche Glaubensbekenntnis und Anbetung
11,"körperliche erregung, steht intensive, light fire, house fire, fiebers",125,1980-1984,Feuer als Metapher für Liebe
12,"angel eyes, fallen angel, angela, guardian angel, guardian",52,1980-1984,Engel‑Ikonografie: Reinheit und Fall
13,"bevölkerung, eindringlicher protest, frühen 1980er, nuklearen, entwirft düsteres",490,1980-1984,Umweltzerstörung: Protest der Bevölkerung
14,"provence, venedig, sommerromanze, sommerliebe, summer love",86,1980-1984,Sommerliebe im Mondlicht
15,"jah, rastafari, tosh, jahr 1982, aswad",223,1980-1984,Kollektiver Aufruf zur Gerechtigkeit
16,"atlantis, sail away, segelns, seemanns, schiffes",178,1980-1984,"Maritime Reisen, Mythen und Hafen"
17,"heimweh, this house, home where, way home, heim ort",144,1980-1984,Heimweh und Rückkehr
18,"innenleben sehnsucht, love zerrissenes, einst intensiven, intensives innenleben, sehnsucht selbstschutz",1510,1980-1984,"Zerrissenes Innenleben, unerwiderte Liebe"
19,"manifestes, botschaft selbstermächtigung, aufruf beharrlichkeit, motivierender, aufruf bewussten",354,1980-1984,Aufruf zur Selbstbestimmung und Resilienz
20,"dut, contamination, mcs, laute selbstdarstellung, goat",6,1980-1984,"Deutschrap: Gewalt, Identität, Szene"
21,"bethlehem, hirten, inkarnation, christi, noel",36,1980-1984,Weihnachtsgeschichte: Geburt Jesu
22,"verführerischen gefährlichen, crowley, emotionalen abhängigkeit, verführerischen tödlichen, leidenschaftlicher hingabe",431,1980-1984,Femme Fatale: gefährliche Verführung und Selbstzerstörung
23,"kaliforniens, mardi, mardi gras, bop, brother john",25,1980-1984,Amerikanische Reise‑ und Freiheitslyrik
24,"erdrückenden beziehung, ringen selbstbehauptung, enough enough, out door, jett",223,1980-1984,Selbstbefreiung aus toxischer Beziehung
25,"over rainbow, blackbird, ikarus, somewhere over, flieg",173,1980-1984,"Flug über Regenbogen, Begrenzungen"
26,"begegnung geliebten, liebe allumfassende, liebe alltägliche, liebesmanifest, shine shine",253,1980-1984,Allumfassende kosmische Liebesbegegnung
27,"tri, 14, teenage dream, beiden enden, coming soon",62,1980-1984,"Mütterliche Liebe, Rollen, Vaterabwesenheit"
28,"bullfrog, benny, louise, happy hour, bruno",68,1980-1984,"Alkohol, Bar, Herzschmerz, Flucht"
29,"goody, foolin, fool love, kind fool, wort fool",125,1980-1984,Selbstbezeichnung als Narr in Beziehungen
30,"leitung, anrufer, operator, anrufs, up phone",145,1980-1984,Telefonische Kommunikation und Entfremdung
31,"jugendlicher verliebtheit, jahr 1983, jahr 1981, liebesmanifest, jahr 1982",606,1980-1984,Jugendliche Pop‑Liebeserklärung
32,"feel up, wilden jahre, kindsein, easy street, rades",103,1980-1984,Nostalgischer Rückblick: Kindheit & Erwachsensein
33,"spuren schnee, love games, winter day, chilly, know at",22,1980-1984,Wintersturm und heimische Geborgenheit
34,"sandman, sandmanns, beautiful boy, harris, sandmann",5,1980-1984,Sandmann – nächtliches Schlaflied
35,"computer, frühen 1980er, kommentar entfremdung, bürokratie, algorithmen",747,1980-1984,Digitale Entfremdung und Bürokratie
36,"gold entfaltet, gold gold, ewigen lichts, karat gold, unvergängliches",13,1980-1984,Goldene Alchemie der Liebe
38,"kartenspiels, spades, glücksspiels, roulette, kartenspiel",64,1980-1984,"Kartenspiele, Würfel und Roulette"
39,"amerikanischen traums, kennedy, indigenen, american dream, frühen 1980er",164,1980-1984,"Amerikas Patriotismus, Indigene und Schuld"
40,"stand by, bekenntnis bedingungsloser, partner bereit, bedingungsloser unterstützung, liebe romantische",161,1980-1984,Bedingungslose Unterstützung und Verlässlichkeit
41,"sung, boy blues, young boy, felt more, like willow",29,1980-1984,Blues-Textanalyse: Verlust und Sehnsucht
42,"reiter, reiters, wilden westens, prärie, miguel",61,1980-1984,"Western‑Mythos, Prärie, Rodeo, Reiter"
43,"autumn, laterne, ende sommers, randy, herbstlichen",69,1980-1984,Herbstliche Symbolik von Verlust
45,"huck, blue water, wobei wasser, fluss steht, fließenden wassers",73,1980-1984,Fluss‑Metaphern in Liedtexten
46,"body language, naughty, looky, jahr 1983, synth pop",329,1980-1984,Erotische Süßmetaphern in Pop
48,"los los, tonk, honky tonk, honky, chinatown",141,1980-1984,"New York: Stadt, Kultur, Musik"
49,"blue blue, blue day, wort blue, nylon, baby blue",49,1980-1984,Blaues Symbol für Traurigkeit
50,"nowhere run, rebecca, keep running, liverpool, godzilla",284,1980-1984,Ständige Flucht und innere Zerrissenheit
51,"xanadu, shangri, shangri la, raumfahrt, zehn zehn",79,1980-1984,Weltraum‑Utopie Shangri‑La
52,"browns, james browns, payback, popcorn, rapp",18,1980-1984,Funk‑Call‑Response bei James Brown
53,"frühen hip, mcs, sugarhill, kurtis, sucker",23,1980-1984,Busta Rhymes: Aggressive Street‑Hip‑Hop Analyse
55,"hollywoods, honky tonk, honky, tonk, sweet jane",39,1980-1984,Hollywood‑Glanz und Vergänglichkeit
56,"silent night, holy night, christi, weihnachtsbotschaft, love pure",7,1980-1984,Stille Nacht – Heilige Geburt
57,"zappa, zappas, zappa nutzt, bissiger, frühen 1980er",287,1980-1984,Zappa‑Ästhetik und satirische Provokation
58,"blüht, ewige feuer, segel wind, rose entfaltet, rote rose",37,1980-1984,Rote Rosen Symbolik in Liedern
59,"masquerade, pretender, great pretender, bruce, no control",117,1980-1984,Fassade vs innere Verzweiflung
60,"eisbär, cold outside, icehouse, eiszeit, cold heart",74,1980-1984,"Kälte außen, Herz erstarrt"
62,"schmetterlings, schmetterling, gewächshaus, joanie, caterpillar",14,1980-1984,Schmetterlingssymbolik in zwischenmenschlichen Beziehungen
63,"sensimilla, ub40, moralische verstrickungen, ambivalenz gefangenschaft, jemand gefühl",2,1980-1984,Urbaner Rap und soziale Dynamik
64,"jingle, sleigh, jingle bells, weihnachtslied, klassisches weihnachtslied",16,1980-1984,Klassisches Weihnachtslied mit Schlitten
-1,"gig, 1985, jahr 1985, spanish, 1988",3821,1985-1989,Gig‑Dialog: Weibliche Eifersucht im Dancehall
0,"monolog zerrissenheit, monolog erinnerung, monolog verzweiflung, monolog verlangen, love monolog",994,1985-1989,Zerrissener innerer Monolog und Selbstreflexion
1,"tanzkultur, körperliche bewegung, jahre clubkultur, rave, tanzen akt",315,1985-1989,Rave‑Kultur: kollektiver Tanz
2,"äußere wetter, nutzt regens, let rain, wetterphänomen, regens steht",149,1985-1989,Regen als Symbol gebrochener Liebe
3,"weihnachtszeit, weihnachtsfest, claus, santa claus, merry christmas",68,1985-1989,Weihnachtszeitliche Symbolik und Gemeinschaft
4,"love sale, tism, bissiger, gabi, bissiger kommentar",235,1985-1989,Bissige Satire über Geldliebe
5,"cheeba, hooptie, cannabis, spliff, out jungle",32,1985-1989,"Straßenrap: Luxus, Drogen, Gewalt"
6,"fahrzeugs, beep, freeway, mercury, harley",126,1985-1989,"Fahrzeug, Fahrer und Mobilität"
7,"liebe allumfassende, liebesmanifest, klassisches liebesbekenntnis, überschwängliches bekenntnis, romantische ideologie",589,1985-1989,Allumfassendes Liebesmanifest
8,"zugfahrt, lokomotive, choo, eisenbahn, voranschreiten lebens",74,1985-1989,Zugmetaphern in moderner Musik
9,"bleibt düsteres, art noise, zerrissenheit reihe, selbstzerstörung verzweifelten, cain",411,1985-1989,"Zerrissene Psyche, Selbstzerstörung, innere Qual"
10,"christlicher, bekenntnis christlicher, al green, hagens, vertrauen göttliche",108,1985-1989,Christliche Glaubensbekenntnis und Anbetung
11,"fire love, lodernden, verzehrende, feuers steht, hearts fire",153,1985-1989,Feuer als Metapher für Liebe
12,"angel eyes, wort angel, fallen angel, gefallenen engels, engel nacht",64,1985-1989,Engel‑Ikonografie: Reinheit und Fall
13,"bevölkerung, eindringlicher protest, umweltzerstörung, regime, nukleare",545,1985-1989,Umweltzerstörung: Protest der Bevölkerung
14,"mond steht, sommerliebe, luna, moon poetisches, mondlichts",100,1985-1989,Sommerliebe im Mondlicht
15,"apartheid, jah, kollektive gewissen, tosh, leidenschaftlicher aufruf",291,1985-1989,Kollektiver Aufruf zur Gerechtigkeit
16,"avalon, seemanns, schiffes, sailor, hafens",183,1985-1989,"Maritime Reisen, Mythen und Hafen"
17,"istanbul, way home, fernweh, heim ort, hans",123,1985-1989,Heimweh und Rückkehr
18,"innenleben sehnsucht, love zerrissenes, einst intensiven, love inneres, liebesbild",1549,1985-1989,"Zerrissenes Innenleben, unerwiderte Liebe"
19,"manifestierter aufruf, manifestes, motivierender, gestalten anstatt, botschaft selbstermächtigung",360,1985-1989,Aufruf zur Selbstbestimmung und Resilienz
20,"mix lot, sir mix, everlast, mcs, hop szene",43,1985-1989,"Deutschrap: Gewalt, Identität, Szene"
21,"bethlehem, christi, hirten, noel, inkarnation",28,1985-1989,Weihnachtsgeschichte: Geburt Jesu
22,"femme, anziehung gefahr, verführerischen zerstörerischen, verlangen gefahr, verlangen selbstzerstörung",475,1985-1989,Femme Fatale: gefährliche Verführung und Selbstzerstörung
23,"kansas, kansas city, kaliforniens, amarillo, re mi",25,1985-1989,Amerikanische Reise‑ und Freiheitslyrik
24,"over now, ende toxischen, befreiung toxischen, erdrückenden beziehung, ausflüchte",222,1985-1989,Selbstbefreiung aus toxischer Beziehung
25,"broken wings, hoffnung vielfalt, lerche, flamingo, regenbogen steht",138,1985-1989,"Flug über Regenbogen, Begrenzungen"
26,"begegnung geliebten, wings love, love entfaltet, zweier seelen, amore",278,1985-1989,Allumfassende kosmische Liebesbegegnung
27,"jünger, ersatzfigur, großvaters, nachdenklicher dialog, walk like",53,1985-1989,"Mütterliche Liebe, Rollen, Vaterabwesenheit"
28,"dorothy, trinkverhalten, duet, liquor store, tavern",47,1985-1989,"Alkohol, Bar, Herzschmerz, Flucht"
29,"hearsay, fooled, anschuldigungen, can fool, rumour",92,1985-1989,Selbstbezeichnung als Narr in Beziehungen
30,"call name, leitung, hotline, back baby, up phone",116,1985-1989,Telefonische Kommunikation und Entfremdung
31,"jugendlicher verliebtheit, synth pop, pop ära, jahre pop, späte 80er",592,1985-1989,Jugendliche Pop‑Liebeserklärung
32,"loco, childhood, unbeschwerte phase, easy street, durham",111,1985-1989,Nostalgischer Rückblick: Kindheit & Erwachsensein
33,"fußspuren, time year, winter steht, born wind, eidechse",28,1985-1989,Wintersturm und heimische Geborgenheit
34,"sandmann, schlaflied, la le, zärtliches wiegenlied, le lu",21,1985-1989,Sandmann – nächtliches Schlaflied
35,"computer, bevölkerung, bürokratie, kritisiert entfremdung, bildschirme",556,1985-1989,Digitale Entfremdung und Bürokratie
36,"goldmine, daytona, diamonds are, gold mine, like diamonds",17,1985-1989,Goldene Alchemie der Liebe
37,"long beach, snoop, darstellen bezugnahme, dichotomes weltbild, feind klar",1,1985-1989,Westküsten‑Gangsta‑Rap von Snoop Dog​g
38,"lady luck, roulette, gambler, kartenspiels, kartenspiel",41,1985-1989,"Kartenspiele, Würfel und Roulette"
39,"amerikanischen traums, patriotismus, kommentar amerikanischen, amerikas, indigenen",140,1985-1989,"Amerikas Patriotismus, Indigene und Schuld"
40,"bekenntnis bedingungsloser, stand by, bedingungsloser unterstützung, zusage ll, two hearts",253,1985-1989,Bedingungslose Unterstützung und Verlässlichkeit
41,"st pauli, pauli, blues genre, agent, blues zerrissenheit",14,1985-1989,Blues-Textanalyse: Verlust und Sehnsucht
42,"jennings, prärie, wild horses, wilden westens, 61",49,1985-1989,"Western‑Mythos, Prärie, Rodeo, Reiter"
43,"herbstes, indian, sommerliebe, if go, foggy",89,1985-1989,Herbstliche Symbolik von Verlust
45,"fluss steht, agua, tupelo, muddy, muddy water",100,1985-1989,Fluss‑Metaphern in Liedtexten
46,"körperliche verlangen, erotik, cover girl, ästhetik späten, contact",267,1985-1989,Erotische Süßmetaphern in Pop
48,"los los, honky, tonk, chinatown, honky tonk",111,1985-1989,"New York: Stadt, Kultur, Musik"
49,"indigo, black blue, blue blue, wort blue, blue monolog",67,1985-1989,Blaues Symbol für Traurigkeit
50,"revival, running scared, mind over, blueprint, straw",221,1985-1989,Ständige Flucht und innere Zerrissenheit
51,"shangri, shangri la, wahre paradies, volare, sahara",87,1985-1989,Weltraum‑Utopie Shangri‑La
52,"browns, james browns, godfather, full force, get busy",13,1985-1989,Funk‑Call‑Response bei James Brown
53,"ll cool, mcs, frühen hip, jeff, hop szene",108,1985-1989,Busta Rhymes: Aggressive Street‑Hip‑Hop Analyse
55,"hollywoods, camping, buckle up, tinsel, natur erfolgs",25,1985-1989,Hollywood‑Glanz und Vergänglichkeit
56,"silent night, holy night, hirten, weihnachtsbotschaft, mild",10,1985-1989,Stille Nacht – Heilige Geburt
57,"zappa, zappas, chad, macho, zappa nutzt",221,1985-1989,Zappa‑Ästhetik und satirische Provokation
58,"blüht, red roses, rose entfaltet, mohn, rote rose",45,1985-1989,Rote Rosen Symbolik in Liedern
59,"wrecking ball, wrecking, masquerade, not scared, mistaken",77,1985-1989,Fassade vs innere Verzweiflung
60,"cold outside, eisbrecher, gefrorene, frosts, break ice",81,1985-1989,"Kälte außen, Herz erstarrt"
62,"schmetterlings, schmetterling, flüchtiges wesen, arm geliebten, meant free",7,1985-1989,Schmetterlingssymbolik in zwischenmenschlichen Beziehungen
63,"homies, materielle notlagen, kaum außen, betonung gegenseitiger, ungeschönten sprache",1,1985-1989,Urbaner Rap und soziale Dynamik
64,"jingle, sleigh, one horse, used know, schlittenfahrt",6,1985-1989,Klassisches Weihnachtslied mit Schlitten
-1,"gig, jahr 1992, 90er jahren, 80er frühen, meditativer dialog",4496,1990-1994,Gig‑Dialog: Weibliche Eifersucht im Dancehall
0,"monolog sprecherin, monolog zerrissenheit, monolog verlangen, monolog verzweiflung, monolog erinnerung",1198,1990-1994,Zerrissener innerer Monolog und Selbstreflexion
1,"rave, euro dance, manifest frühen, körperliche bewegung, tanzmusik",458,1990-1994,Rave‑Kultur: kollektiver Tanz
2,"nutzt regens, äußere wetter, regen reinigung, rain monolog, let rain",184,1990-1994,Regen als Symbol gebrochener Liebe
3,"merry christmas, weihnachtszeit, weihnachtsfest, mistelzweig, claus",139,1990-1994,Weihnachtszeitliche Symbolik und Gemeinschaft
4,"bissiger, bissiger kommentar, liebe geld, kunden, werner",242,1990-1994,Bissige Satire über Geldliebe
5,"snip, pimp, niggas, ultraviolet, swap",74,1990-1994,"Straßenrap: Luxus, Drogen, Gewalt"
6,"harley, fahrzeugs, driver, fahrers, motorrad",111,1990-1994,"Fahrzeug, Fahrer und Mobilität"
7,"liebe allumfassende, liebesmanifest, überschwängliches bekenntnis, wodurch liebe, intensives bekenntnis",725,1990-1994,Allumfassendes Liebesmanifest
8,"zugfahrt, choo, eisenbahn, this train, voranschreiten lebens",91,1990-1994,Zugmetaphern in moderner Musik
9,"selbstzerstörung verzweifelten, bleibt düsteres, jailer, spiegelns, zerrissenheit reihe",564,1990-1994,"Zerrissene Psyche, Selbstzerstörung, innere Qual"
10,"christlicher, beziehung gott, bekenntnis christlicher, vertrauen göttliche, ave maria",92,1990-1994,Christliche Glaubensbekenntnis und Anbetung
11,"stir, loderndes, burning up, lodernde, stir up",129,1990-1994,Feuer als Metapher für Liebe
12,"angel eyes, reinheit schutz, anrede angel, engel figur, are angel",53,1990-1994,Engel‑Ikonografie: Reinheit und Fall
13,"bevölkerung, eindringlicher protest, ökologischen, umweltzerstörung, entwirft düsteres",612,1990-1994,Umweltzerstörung: Protest der Bevölkerung
14,"mondlichts, sommerliebe, luna, sommerromanze, summer love",107,1990-1994,Sommerliebe im Mondlicht
15,"kollektive gewissen, jah, leidenschaftlicher aufruf, nationale grenzen, mitzuwirken",382,1990-1994,Kollektiver Aufruf zur Gerechtigkeit
16,"segelns, sail away, maritimen, schiffes, hafens",222,1990-1994,"Maritime Reisen, Mythen und Hafen"
17,"way home, heimweh, otto, heim ort, like home",164,1990-1994,Heimweh und Rückkehr
18,"innenleben sehnsucht, intensives innenleben, intensives ringen, einst intensiven, love inneres",1652,1990-1994,"Zerrissenes Innenleben, unerwiderte Liebe"
19,"manifestes, manifestierter aufruf, gestalten anstatt, passiv verharren, aufruf bewussten",442,1990-1994,Aufruf zur Selbstbestimmung und Resilienz
20,"deutschen hip, hop szene, mcs, fantastischen vier, rap szene",95,1990-1994,"Deutschrap: Gewalt, Identität, Szene"
21,"hirten, bethlehem, christi, noel, inkarnation",69,1990-1994,Weihnachtsgeschichte: Geburt Jesu
22,"femme, verführerischen zerstörerischen, femme fatale, fatale, hoodoo",454,1990-1994,Femme Fatale: gefährliche Verführung und Selbstzerstörung
23,"kentucky, kaliforniens, mardi, mardi gras, louisiana",21,1990-1994,Amerikanische Reise‑ und Freiheitslyrik
24,"erdrückenden beziehung, befreiung toxischen, betrugs, ringen selbstbehauptung, ende toxischen",245,1990-1994,Selbstbefreiung aus toxischer Beziehung
25,"over rainbow, blackbird, pegasus, little wing, nachtigall",219,1990-1994,"Flug über Regenbogen, Begrenzungen"
26,"begegnung geliebten, love entfaltet, präsenz geliebten, transzendentalen liebe, zweier seelen",360,1990-1994,Allumfassende kosmische Liebesbegegnung
27,"abwesenden vater, problem child, pap, nachdenklicher dialog, father son",76,1990-1994,"Mütterliche Liebe, Rollen, Vaterabwesenheit"
28,"tubby, alcohol, trink, loose change, oom",63,1990-1994,"Alkohol, Bar, Herzschmerz, Flucht"
29,"goody, not love, rumour, fooling, kind fool",82,1990-1994,Selbstbezeichnung als Narr in Beziehungen
30,"operator, please go, need tonight, baby verzweifelter, back baby",107,1990-1994,Telefonische Kommunikation und Entfremdung
31,"jugendlicher verliebtheit, jugendlicher leidenschaft, offenbaren tieferes, liebesmanifest, pop ballade",512,1990-1994,Jugendliche Pop‑Liebeserklärung
32,"rades, unbeschwertheit kindheit, hans, älterwerdens, pure simple",134,1990-1994,Nostalgischer Rückblick: Kindheit & Erwachsensein
